table_array,question,answer
"[['Year', 'Competition', 'Venue', 'Position', 'Event', 'Notes'], [2001, 'World Youth Championships', 'Debrecen, Hungary', '2nd', '400 m', '47.12'], [2001, 'World Youth Championships', 'Debrecen, Hungary', '1st', 'Medley relay', '1:50.46'], [2001, 'European Junior Championships', 'Grosseto, Italy', '1st', '4x400 m relay', '3:06.12'], [2003, 'European Junior Championships', 'Tampere, Finland', '3rd', '400 m', '46.69'], [2003, 'European Junior Championships', 'Tampere, Finland', '2nd', '4x400 m relay', '3:08.62'], [2005, 'European U23 Championships', 'Erfurt, Germany', '11th (sf)', '400 m', '46.62'], [2005, 'European U23 Championships', 'Erfurt, Germany', '1st', '4x400 m relay', '3:04.41'], [2005, 'Universiade', 'Izmir, Turkey', '7th', '400 m', '46.89'], [2005, 'Universiade', 'Izmir, Turkey', '1st', '4x400 m relay', '3:02.57'], [2006, 'World Indoor Championships', 'Moscow, Russia', '2nd (h)', '4x400 m relay', '3:06.10'], [2006, 'European Championships', 'Gothenburg, Sweden', '3rd', '4x400 m relay', '3:01.73'], [2007, 'European Indoor Championships', 'Birmingham, United Kingdom', '3rd', '4x400 m relay', '3:08.14'], [2007, 'Universiade', 'Bangkok, Thailand', '7th', '400 m', '46.85'], [2007, 'Universiade', 'Bangkok, Thailand', '1st', '4x400 m relay', '3:02.05'], [2008, 'World Indoor Championships', 'Valencia, Spain', '4th', '4x400 m relay', '3:08.76'], [2008, 'Olympic Games', 'Beijing, China', '7th', '4x400 m relay', '3:00.32'], [2009, 'Universiade', 'Belgrade, Serbia', '2nd', '4x400 m relay', '3:05.69']]",in what city did piotr's last 1st place finish occur?,"Bangkok, Thailand"
"[['Team', 'County', 'Wins', 'Years won'], ['Greystones', 'Wicklow', 1, 2011], ['Ballymore Eustace', 'Kildare', 1, 2010], ['Maynooth', 'Kildare', 1, 2009], ['Ballyroan Abbey', 'Laois', 1, 2008], ['Fingal Ravens', 'Dublin', 1, 2007], ['Confey', 'Kildare', 1, 2006], ['Crettyard', 'Laois', 1, 2005], ['Wolfe Tones', 'Meath', 1, 2004], ['Dundalk Gaels', 'Louth', 1, 2003]]",which team won previous to crettyard?,Wolfe Tones
"[['Rank', 'City', 'Passengers', 'Ranking', 'Airline'], [1, 'United States, Los Angeles', '14,749', nan, 'Alaska Airlines'], [2, 'United States, Houston', '5,465', nan, 'United Express'], [3, 'Canada, Calgary', '3,761', nan, 'Air Transat, WestJet'], [4, 'Canada, Saskatoon', '2,282', 4.0, nan], [5, 'Canada, Vancouver', '2,103', nan, 'Air Transat'], [6, 'United States, Phoenix', '1,829', 1.0, 'US Airways'], [7, 'Canada, Toronto', '1,202', 1.0, 'Air Transat, CanJet'], [8, 'Canada, Edmonton', '110', nan, nan], [9, 'United States, Oakland', '107', nan, nan]]",how many more passengers flew to los angeles than to saskatoon from manzanillo airport in 2013?,"12,467"
"[['Date', 'Opponent', 'Venue', 'Result', 'Attendance', 'Scorers'], ['15 August 1987', 'Derby County', 'Away', '0–1', '17,204', '—'], ['18 August 1987', 'Coventry City', 'Home', '0–1', '09,380', '—'], ['22 August 1987', 'West Ham United', 'Home', '2–2', '08,073', 'Harford (2)'], ['29 August 1987', 'Chelsea', 'Away', '0–3', '16,075', '—'], ['31 August 1987', 'Arsenal', 'Home', '1–1', '08,745', 'Wilson (pen)'], ['5 September 1987', 'Oxford United', 'Away', '5–2', '06,804', 'Breacker, Harford, Hill, Nwajiobi, B. Stein'], ['12 September 1987', 'Everton', 'Home', '2–1', '08,124', 'Hill, B. Stein'], ['19 September 1987', 'Charlton Athletic', 'Away', '0–1', '05,002', '—'], ['26 September 1987', 'Queens Park Rangers', 'Away', '0–2', '11,175', '—'], ['3 October 1987', 'Manchester United', 'Home', '1–1', '09,137', 'Harford'], ['10 October 1987', 'Portsmouth', 'Away', '1–3', '12,391', 'Harford (pen)'], ['17 October 1987', 'Wimbledon', 'Home', '2–0', '07,018', 'B. Stein, Wilson'], ['24 October 1987', 'Liverpool', 'Home', '0–1', '11,997', '—'], ['7 November 1987', 'Newcastle United', 'Home', '4–0', '07,638', 'Nwajiobi, B. Stein, M. Stein (2)'], ['14 November 1987', 'Sheffield Wednesday', 'Away', '2–0', '16,960', 'Allinson, M. Stein'], ['21 November 1987', 'Tottenham Hotspur', 'Home', '2–0', '10,091', 'Allinson (2)'], ['5 December 1987', 'Norwich City', 'Home', '1–2', '07,002', 'B. Stein'], ['12 December 1987', 'Watford', 'Away', '1–0', '12,152', 'Foster'], ['18 December 1987', 'Southampton', 'Home', '2–2', '06,618', 'Harford, McDonough'], ['26 December 1987', 'Everton', 'Away', '0–2', '32,128', '—'], ['28 December 1987', 'Charlton Athletic', 'Home', '1–0', '07,243', 'Wilson'], ['1 January 1988', 'Chelsea', 'Home', '3–0', '08,018', 'Harford, B. Stein, M. Stein'], ['2 January 1988', 'West Ham United', 'Away', '1–1', '16,716', 'M. Stein'], ['16 January 1988', 'Derby County', 'Home', '1–0', '07,175', 'McDonough'], ['6 February 1988', 'Oxford United', 'Home', '7–4', '08,063', 'Harford (2), McDonough, B.Stein, M.Stein (3)'], ['13 February 1988', 'Arsenal', 'Away', '1–2', '22,612', 'M.Stein'], ['5 March 1988', 'Wimbledon', 'Away', '0–2', '04,854', '—'], ['15 March 1988', 'Coventry City', 'Away', '0–4', '13,711', '—'], ['29 March 1988', 'Portsmouth', 'Home', '4–1', '06,740', 'B.Stein, M.Stein, Wilson, own goal'], ['2 April 1988', 'Newcastle United', 'Away', '0–4', '20,752', '—'], ['5 April 1988', 'Sheffield Wednesday', 'Home', '2–2', '07,337', 'McDonough, B. Stein'], ['12 April 1988', 'Manchester United', 'Away', '0–3', '28,830', '—'], ['19 April 1988', 'Queens Park Rangers', 'Home', '2–1', '06,735', 'Foster, Wilson (pen)'], ['30 April 1988', 'Norwich City', 'Away', '2–2', '13,171', 'M. Stein, Wilson (pen)'], ['2 May 1988', 'Watford', 'Home', '2–1', '10,409', 'Oldfield, Wilson (pen)'], ['4 May 1988', 'Tottenham Hotspur', 'Away', '1–2', '15,437', 'Grimes'], ['7 May 1988', 'Southampton', 'Away', '1–1', '12,722', 'Wilson'], ['9 May 1988', 'Liverpool', 'Away', '1–1', '30,374', 'Oldfield'], ['13 May 1988', 'Nottingham Forest', 'Home', '1–1', '09,108', 'Donaghy'], ['15 May 1988', 'Nottingham Forest', 'Away', '1–1', '13,106', 'Oldfield']]",who was the opponent in the first game of the season?,Derby County
"[['Unnamed: 0', 'Name', 'Took office', 'Left office', 'Party', 'Notes/Events'], [11, 'William McCreery', 'March 4, 1803', 'March 3, 1809', 'Democratic Republican', nan], [12, 'Alexander McKim', 'March 4, 1809', 'March 3, 1815', 'Democratic Republican', nan], [13, 'William Pinkney', 'March 4, 1815', 'April 18, 1816', 'Democratic Republican', 'Resigned to accept position as Minister Plenipotentiary to Russia'], [14, 'Peter Little', 'September 2, 1816', 'March 3, 1823', 'Democratic Republican', nan], [14, 'Peter Little', 'March 4, 1823', 'March 3, 1825', 'Jacksonian DR', nan], [14, 'Peter Little', 'March 4, 1825', 'March 3, 1829', 'Adams', nan], [15, 'Benjamin C. Howard', 'March 4, 1829', 'March 3, 1833', 'Jacksonian', nan]]",how many people stayed at least 3 years in office?,4
"[['Tie no', 'Home team', 'Score', 'Away team'], [49, 'Dalsjöfors GoIF (WC)', '1-4', 'Varbergs GIF (D3)'], [50, 'Sjömarkens IF (D4)', '1-4', 'BK Slätta Damm (D3)'], [51, 'IF Tymer (D4)', '0-3', 'Kållereds SK (D3)'], [52, 'IFK Hjo (WC)', '0-4', 'Nässjö FF (D3)'], [53, 'Falköpings FK (D4)', '2-0', 'Gånghesters SK (D4)'], [54, 'Ankarsrums IS (WC)', '1-2', 'Linköpings FF (D3)'], [55, 'Rödsle BK (D4)', '1-0 (gg)', 'Skeninge IK (D4)'], [56, 'Lindås BK (D4)', '1-3', 'Hultsfreds FK (D3)'], [57, 'Hvetlanda GIF (D4)', '0-1', 'Åhus Horna BK (D3)'], [58, 'Bredaryds IK (D4)', '3-0', 'Ulricehamns IFK (D3)'], [59, 'Hovslätts IK (D4)', '0-9', 'Tidaholms GIF (D2)'], [60, 'Torpa AIS (D4)', '0-2', 'BK Zeros (D3)'], [61, 'Fiskeby IF (WC)', '2-1 (gg)', 'Västerviks FF (D4)'], [62, 'Gnösjö IF (D4)', '1-3', 'Skövde AIK (D2)'], [63, 'Sävsjö FF (D4)', '5-3', 'Skillingaryds IS (D4)'], [64, 'Boxholms IF (WC)', '1-2', 'Tranås AIF (D3)'], [65, 'LSW IF (D4)', '2-1', 'Husqvarna FF (D2)'], [66, 'Lessebo GoIF (D4)', '0-1', 'Listerby IK (D4)'], [67, 'Rörviks IF (D4)', '0-2', 'Lunds BK (D2)'], [68, 'Lagans AIK (D4)', '0-1', 'Högaborgs BK (D2)'], [69, 'IF Eksjö (D4)', '1-4', 'Kalmar FF (D2)'], [70, 'Limmareds IF (D4)', '1-5', 'Växjö Norra IF (D2)'], [71, 'Bankeryds SK (D4)', '4-1', 'Hjulsbro IK (D2)'], [72, 'Skultorps IF (D4)', '0-2', 'BK Forward (D2)'], [73, 'Gullspångs IF (D4)', '0-7', 'Rynninge IK (D3)'], [74, 'Skara FC (D4)', '0-4', 'Karlslunds IF (D3)'], [75, 'Bråtens IK (D4)', '0-4', 'Vivalla-Lundby IF (D3)'], [76, 'Finnerödja IF(D4)', '3-1', 'IFK Mariestad (D4)'], [77, 'Sköllersta IF (D4)', '1-3', 'Hemgårdarnas BK (D4)'], [78, 'Simonstorps IF (D4)', '0-5', 'Nyköpings BIS (D2)'], [79, 'Ringarums IF (D4)', '1-4', 'Värmbols FC (D4)'], [80, 'Dagsbergs IF (D4)', '1-0', 'Malmköpings IF (D4)'], [81, 'Katrineholms SK (D4)', '0-2', 'BK Kenty (D4)'], [82, 'Härad IF (D4)', '2-3 (gg)', 'IFK Västerås (D2)'], [83, 'Kolsva IF (D4)', '0-3', 'Karlstad BK (D2)'], [84, 'Laxå IF (D4)', '0-4', 'IF Sylvia (D2)'], [85, 'Ransta IK (D4)', '1-3', 'IFK Hallsberg (D4)'], [86, 'Skyllbergs IK (WC)', '0-4', 'IFK Kristinehamn (D4)'], [87, 'Filipstads FF (D4)', '3-1', 'Kungsörs SK (D4)'], [88, 'Hallstahammars SK (D4)', '0-7', 'IFK Eskilstuna (D2)'], [89, 'BK Hird (D4)', '0-5', 'Hargs BK (D2)'], [90, 'Vretstorps IF (WC)', '1-5', 'IFK Ölme (D3)'], [91, 'Frövi IK (WC)', '1-9', 'Skiljebo SK (D3)'], [92, 'IF Rune (WC)', '1-3', 'Gnesta FF (D3)'], [93, 'Västerås BK 30 (WC)', '0-8', 'Örebro SK Ungdom (D4)'], [94, 'VoIF Diana (WC)', '4-0', 'Enskede IK (D4)'], [95, 'New Mill FF (WC)', '4-2', 'Värtans SK (D3)'], [96, 'Runtuna IK/Löthen (WC)', '1-2', 'Huddinge IF (D3)']]",who is the first away team on the chart,Varbergs GIF
"[['Name in English', 'Name in Turkish', 'Area (km2)', 'Depth', 'Location (districts and/or provinces)'], ['Lake Van', 'Van Gölü', '3755\xa0km2', '451\xa0m', 'Van, Bitlis'], ['Lake Tuz', 'Tuz Gölü', '1500\xa0km2', '2\xa0m', 'Aksaray, Ankara, Konya'], ['Lake Beyşehir', 'Beyşehir Gölü', '656\xa0km2', '10\xa0m', 'Beyşehir in Konya, Isparta'], ['Lake Eğirdir', 'Eğirdir Gölü', '482\xa0km2', nan, 'Isparta'], ['Lake İznik', 'İznik Gölü', '308\xa0km2', nan, 'İznik in Bursa, Yalova'], ['Lake Burdur', 'Burdur Gölü', '200\xa0km2', nan, 'Burdur, Isparta'], ['Lake Manyas', 'Manyas Gölü', '166\xa0km2', nan, 'Balıkesir'], ['Lake Acıgöl', 'Acıgöl', '153\xa0km2', nan, 'Denizli, Afyonkarahisar'], ['Lake Uluabat', 'Uluabat Gölü', '134\xa0km2', '1–2\xa0m', 'Bursa'], ['Lake Çıldır', 'Çıldır Gölü', '115\xa0km2', nan, 'Ardahan, Kars'], ['Lake Palas Tuzla', 'Palas Tuzla Gölü', '106\xa0km2', '15\xa0m', 'Palas/Kayseri'], ['Lake Akşehir', 'Akşehir Gölü', '105\xa0km2', nan, 'Akşehir in Konya, Afyonkarahisar'], ['Lake Eber', 'Eber Gölü', '104\xa0km2', nan, 'Afyonkarahisar'], ['Lake Erçek', 'Erçek Gölü', '98\xa0km2', nan, 'Van'], ['Lake Hazar', 'Hazar Gölü', '86\xa0km2', nan, 'Elazığ'], ['Lake Bafa', 'Bafa Gölü', '60\xa0km2', nan, 'Aydın, Muğla'], ['Lake Köyceğiz', 'Köyceğiz Gölü', '52\xa0km2', nan, 'Köyceğiz in Muğla'], ['Lake Işıklı', 'Işıklı Gölü', '49\xa0km2', nan, 'Denizli'], ['Lake Nazik', 'Nazik Gölü', '48\xa0km2', nan, 'Bitlis'], ['Lake Sapanca', 'Sapanca Gölü', '47\xa0km2', nan, 'Sakarya Province'], ['Lake Salda', 'Salda Gölü', '45\xa0km2', '184\xa0m', 'Burdur'], ['Lake Yay', 'Yay Gölü', '37\xa0km2', nan, 'Kayseri'], ['Lake Akyatan', 'Akyatan Gölü', '35\xa0km2', nan, 'Adana'], ['Lake Balık', 'Balık Gölü', '34\xa0km2', nan, 'Doğubeyazıt in Ağrı'], ['Lake Marmara', 'Marmara Gölü', '34\xa0km2', nan, 'Salihli, Gölmarmara in Manisa'], ['Lake Çöl', 'Çöl Gölü', '32\xa0km2', nan, 'Ankara'], ['Lake Durusu (Lake Terkos)', 'Durusu Gölü', '25\xa0km2', nan, 'İstanbul'], ['Lake Karine', 'Karine Gölü', '24\xa0km2', nan, nan], ['Lake Tuzla', 'Tuzla Gölü', '23\xa0km2', nan, 'Tuzla'], ['Lake Küçükçekmece', 'Küçükçekmece Gölü', '16\xa0km2', nan, 'Küçükçekmece, İstanbul'], ['Lake Yaraşlı', 'Yaraşlı Gölü', '16\xa0km2', nan, 'Burdur'], ['Lake Haçlı', 'Haçlı Gölü', '16\xa0km2', nan, 'Muş'], ['Lake Seyfe', 'Seyfe Gölü', '15\xa0km2', nan, 'Kırşehir'], ['Lake Akyayan', 'Akyayan Gölü', '15\xa0km2', nan, nan], ['Lake Hozapin', 'Hozapin Gölü', '14\xa0km2', nan, nan], ['Lake Arin', 'Arin Gölü', '13\xa0km2', nan, nan], ['Lake Nemrut', 'Nemrut Gölü', '12\xa0km2', nan, 'Bitlis Province'], ['Lake Balık', 'Balık Gölü', '12\xa0km2', nan, nan], ['Lake Büyükçekmece', 'Büyükçekmece Gölü', '11\xa0km2', nan, 'Büyükçekmece, Istanbul'], ['Lake Boluk', 'Boluk Gölü', '11\xa0km2', nan, nan], ['Lake Akdoğan', 'Akdoğan Gölü', '11\xa0km2', nan, nan], ['Lake Çavuşlu', 'Çavuşlu Gölü', '9\xa0km2', nan, nan], ['Lake Düden', 'Düden Gölü', '8\xa0km2', nan, nan], ['Lake Gala', 'Gala Gölü', '8\xa0km2', nan, 'Edirne'], ['Lake Karataş', 'Karataş Gölü', '6\xa0km2', nan, nan], ['Lake Mogan', 'Mogan Gölü', '6\xa0km2', nan, 'Ankara'], ['Paradeniz', 'Paradeniz', '4\xa0km2', nan, 'Mersin'], ['Lake Eymir', 'Eymir Gölü', '1.8\xa0km2', nan, 'Ankara'], ['Lake Abant', 'Abant Gölü', '1.28\xa0km2', '18\xa0m', 'Bolu'], ['Lake Gölcük', 'Gölcük Gölü', '1\xa0km2', nan, 'İzmir']]","which is deeper, lake tuz or lake palas tuzla?",Lake Palas Tuzla
"[['Hand', '1 credit', '2 credits', '3 credits', '4 credits', '5 credits'], ['Royal flush', '250', '500', '750', '1000', '4000*'], ['Straight flush', '60', '120', '180', '240', '400'], ['Four aces', '400', '800', '1200', '1600', '2000'], ['Four of a kind, 2-4', '100', '200', '300', '400', '500'], ['Four of a kind, 5-K', '50', '100', '150', '200', '250'], ['Full house', '8', '16', '24', '32', '40'], ['Flush', '5', '10', '15', '20', '25'], ['Straight', '4', '8', '12', '16', '20'], ['Three of a kind', '3', '6', '9', '12', '15'], ['Two pair', '1', '2', '3', '4', '5'], ['Jacks or better', '1', '2', '3', '4', '5'], ['Theoretical return', '98.68%', '98.68%', '98.68%', '98.68%', '99.92%*']]","after winning on four credits with a full house, what is your payout?",32
"[['No.', 'Player', 'Birth Date', 'Weight', 'Height', 'Position', 'Current Club'], [4, 'Ardo Kreek', 'August 7, 1986 (age\xa027)', 96, 203, 'Middle blocker', 'Paris Volley'], [5, 'Kert Toobal', 'June 3, 1979 (age\xa035)', 78, 189, 'Setter', 'Sivas 4 Eylül'], [6, 'Martti Juhkami', 'June 6, 1988 (age\xa026)', 96, 196, 'Spiker', 'TV Bühl'], [7, 'Argo Meresaar', 'January 13, 1980 (age\xa034)', 107, 206, 'Opposite', 'Bigbank Tartu'], [8, 'Kusti Nõlvak', 'November 6, 1991 (age\xa022)', 81, 186, 'Setter', 'TTÜ VK'], [9, 'Robert Täht', 'August 15, 1993 (age\xa020)', 80, 190, 'Spiker', 'Bigbank Tartu'], [11, 'Oliver Venno', 'May 23, 1990 (age\xa024)', 105, 210, 'Opposite', 'Rennes Volley 35'], [14, 'Rait Rikberg', 'August 30, 1982 (age\xa031)', 80, 174, 'Libero', 'Bigbank Tartu'], [16, 'Edgar Järvekülg', 'June 12, 1988 (age\xa026)', 77, 186, 'Libero', 'Pärnu VK'], [17, 'Siim Ennemuist', 'December 5, 1989 (age\xa024)', 89, 196, 'Middle blocker', 'TTÜ VK'], [18, 'Jaanus Nõmmsalu', 'January 19, 1981 (age\xa033)', 94, 200, 'Spiker', 'TTÜ VK'], [19, 'Andri Aganits', 'September 7, 1993 (age\xa020)', 99, 207, 'Middle Blocker', 'TV Bühl']]",which players played the same position as ardo kreek?,Siim Ennemuist|Andri Aganits
"[['Round', 'Round.1', 'Circuit', 'Date', 'Pole Position', 'Fastest Lap', 'Winning Rider'], [1, 'R1', 'Jerez', '18 March', 'Raymond Roche', 'Stéphane Mertens', 'Raymond Roche'], [1, 'R2', 'Jerez', '18 March', 'Raymond Roche', 'Raymond Roche', 'Raymond Roche'], [2, 'R1', 'Donington', '16 April', 'Giancarlo Falappa', 'Rob Phillis', 'Fred Merkel'], [2, 'R2', 'Donington', '16 April', 'Giancarlo Falappa', 'Raymond Roche', 'Giancarlo Falappa'], [3, 'R1', 'Hungaroring', '30 April', 'Malcolm Campbell', 'Raymond Roche', 'Fred Merkel'], [3, 'R2', 'Hungaroring', '30 April', 'Malcolm Campbell', 'Fred Merkel', 'Raymond Roche'], [4, 'R1', 'Hockenheim', '6 May', 'Raymond Roche', 'Fred Merkel', 'Fred Merkel'], [4, 'R2', 'Hockenheim', '6 May', 'Raymond Roche', 'Raymond Roche', 'Stéphane Mertens'], [5, 'R1', 'Mosport', '3 June', 'Giancarlo Falappa', 'Raymond Roche', 'Raymond Roche'], [5, 'R2', 'Mosport', '3 June', 'Giancarlo Falappa', 'Jamie James', 'Raymond Roche'], [6, 'R1', 'Brainerd', '10 June', 'Doug Chandler', 'Doug Chandler', 'Stéphane Mertens'], [6, 'R2', 'Brainerd', '10 June', 'Doug Chandler', 'Fabrizio Pirovano', 'Doug Chandler'], [7, 'R1', 'Österreichring', '1 July', 'Stéphane Mertens', 'Rob McElnea', 'Fabrizio Pirovano'], [7, 'R2', 'Österreichring', '1 July', 'Stéphane Mertens', 'Stéphane Mertens', 'Stéphane Mertens'], [8, 'R1', 'Sugo', '26 August', 'Raymond Roche', 'Raymond Roche', 'Raymond Roche'], [8, 'R2', 'Sugo', '26 August', 'Raymond Roche', 'Peter Goddard', 'Doug Chandler'], [9, 'R1', 'Le Mans', '9 September', 'Baldassarre Monti', 'Raymond Roche', 'Raymond Roche'], [9, 'R2', 'Le Mans', '9 September', 'Baldassarre Monti', 'Jamie James', 'Raymond Roche'], [10, 'R1', 'Monza', '7 October', 'Baldassarre Monti', 'Rob Phillis', 'Fabrizio Pirovano'], [10, 'R2', 'Monza', '7 October', 'Baldassarre Monti', 'Rob Phillis', 'Fabrizio Pirovano'], [11, 'R1', 'Shah Alam', '4 November', 'Rob Phillis', 'Fabrizio Pirovano', 'Fabrizio Pirovano'], [11, 'R2', 'Shah Alam', '4 November', 'Rob Phillis', 'Raymond Roche', 'Fabrizio Pirovano'], [12, 'R1', 'Phillip Island', '11 November', 'Peter Goddard', 'Fabrizio Pirovano', 'Peter Goddard'], [12, 'R2', 'Phillip Island', '11 November', 'Peter Goddard', 'Malcolm Campbell', 'Rob Phillis'], [13, 'R1', 'Manfeild', '18 November', 'Rob Phillis', 'Brian Morrison', 'Terry Rymer'], [13, 'R2', 'Manfeild', '18 November', 'Rob Phillis', 'Raymond Roche', 'Rob Phillis']]",how many times did an italian cyclist win a round?,6
